"","fromgene","togene"
"812","282618","3590"
"813","282618","3594"
"814","282618","3595"
"815","282618","3597"
"816","282618","3598"
"817","282618","3601"
"818","282618","3953"
"819","282618","3977"
"820","282618","4352"
"821","282618","50615"
"822","282618","5156"
"823","282618","5159"
"824","282618","53832"
"825","282618","53833"
"826","282618","5618"
"827","282618","58985"
"828","282618","64109"
"829","282618","9180"
"830","282618","9466"
"831","29949","116379"
"832","29949","1271"
"833","29949","1438"
"834","29949","1439"
"835","29949","1441"
"836","29949","149233"
"837","29949","163702"
"838","29949","1956"
"839","29949","2057"
"840","29949","2690"
"841","29949","3454"
"842","29949","3455"
"843","29949","3459"
"844","29949","3460"
"845","29949","3559"
"846","29949","3560"
"847","29949","3561"
"848","29949","3563"
"849","29949","3566"
"850","29949","3568"
"851","29949","3570"
"852","29949","3572"
"853","29949","3575"
"854","29949","3581"
"855","29949","3587"
"856","29949","3588"
"857","29949","3590"
"858","29949","3594"
"859","29949","3595"
"860","29949","3597"
"861","29949","3598"
"862","29949","3601"
"863","29949","3953"
"864","29949","3977"
"865","29949","4352"
"866","29949","50615"
"867","29949","5156"
"868","29949","5159"
"869","29949","53832"
"870","29949","53833"
"871","29949","5618"
"872","29949","58985"
"873","29949","64109"
"874","29949","9180"
"875","29949","9466"
"876","338376","116379"
"877","338376","1271"
"878","338376","1438"
"879","338376","1439"
"880","338376","1441"
"881","338376","149233"
"882","338376","163702"
"883","338376","1956"
"884","338376","2057"
"885","338376","2690"
"886","338376","3454"
"887","338376","3455"
"888","338376","3459"
"889","338376","3460"
"890","338376","3559"
"891","338376","3560"
"892","338376","3561"
"893","338376","3563"
"894","338376","3566"
"895","338376","3568"
"896","338376","3570"
"897","338376","3572"
"898","338376","3575"
"899","338376","3581"
"900","338376","3587"
"901","338376","3588"
"902","338376","3590"
"903","338376","3594"
"904","338376","3595"
"905","338376","3597"
"906","338376","3598"
"907","338376","3601"
"908","338376","3953"
"909","338376","3977"
"910","338376","4352"
"911","338376","50615"
"912","338376","5156"
"913","338376","5159"
"914","338376","53832"
"915","338376","53833"
"916","338376","5618"
"917","338376","58985"
"918","338376","64109"
"919","338376","9180"
"920","338376","9466"
"921","3439","116379"
"922","3439","1271"
"923","3439","1438"
"924","3439","1439"
"925","3439","1441"
"926","3439","149233"
"927","3439","163702"
"928","3439","1956"
"929","3439","2057"
"930","3439","2690"
"931","3439","3454"
"932","3439","3455"
"933","3439","3459"
"934","3439","3460"
"935","3439","3559"
"936","3439","3560"
"937","3439","3561"
"938","3439","3563"
"939","3439","3566"
"940","3439","3568"
"941","3439","3570"
"942","3439","3572"
"943","3439","3575"
"944","3439","3581"
"945","3439","3587"
"946","3439","3588"
"947","3439","3590"
"948","3439","3594"
"949","3439","3595"
"950","3439","3597"
"951","3439","3598"
"952","3439","3601"
"953","3439","3953"
"954","3439","3977"
"955","3439","4352"
"956","3439","50615"
"957","3439","5156"
"958","3439","5159"
"959","3439","53832"
"960","3439","53833"
"961","3439","5618"
"962","3439","58985"
"963","3439","64109"
"964","3439","9180"
"965","3439","9466"
"966","3440","116379"
"967","3440","1271"
"968","3440","1438"
"969","3440","1439"
"970","3440","1441"
"971","3440","149233"
"972","3440","163702"
"973","3440","1956"
"974","3440","2057"
"975","3440","2690"
"976","3440","3454"
"977","3440","3455"
"978","3440","3459"
"979","3440","3460"
"980","3440","3559"
"981","3440","3560"
"982","3440","3561"
"983","3440","3563"
"984","3440","3566"
"985","3440","3568"
"986","3440","3570"
"987","3440","3572"
"988","3440","3575"
"989","3440","3581"
"990","3440","3587"
"991","3440","3588"
"992","3440","3590"
"993","3440","3594"
"994","3440","3595"
"995","3440","3597"
"996","3440","3598"
"997","3440","3601"
"998","3440","3953"
"999","3440","3977"
"1000","3440","4352"
"1001","3440","50615"
"1002","3440","5156"
"1003","3440","5159"
"1004","3440","53832"
"1005","3440","53833"
"1006","3440","5618"
"1007","3440","58985"
"1008","3440","64109"
"1009","3440","9180"
"1010","3440","9466"
"1011","3441","116379"
"1012","3441","1271"
"1013","3441","1438"
"1014","3441","1439"
"1015","3441","1441"
"1016","3441","149233"
"1017","3441","163702"
"1018","3441","1956"
"1019","3441","2057"
"1020","3441","2690"
"1021","3441","3454"
"1022","3441","3455"
"1023","3441","3459"
"1024","3441","3460"
"1025","3441","3559"
"1026","3441","3560"
"1027","3441","3561"
"1028","3441","3563"
"1029","3441","3566"
"1030","3441","3568"
"1031","3441","3570"
"1032","3441","3572"
"1033","3441","3575"
"1034","3441","3581"
"1035","3441","3587"
"1036","3441","3588"
"1037","3441","3590"
"1038","3441","3594"
"1039","3441","3595"
"1040","3441","3597"
"1041","3441","3598"
"1042","3441","3601"
"1043","3441","3953"
"1044","3441","3977"
"1045","3441","4352"
"1046","3441","50615"
"1047","3441","5156"
"1048","3441","5159"
"1049","3441","53832"
"1050","3441","53833"
"1051","3441","5618"
"1052","3441","58985"
"1053","3441","64109"
"1054","3441","9180"
"1055","3441","9466"
"1056","3442","116379"
"1057","3442","1271"
"1058","3442","1438"
"1059","3442","1439"
"1060","3442","1441"
"1061","3442","149233"
"1062","3442","163702"
"1063","3442","1956"
"1064","3442","2057"
"1065","3442","2690"
"1066","3442","3454"
"1067","3442","3455"
"1068","3442","3459"
"1069","3442","3460"
"1070","3442","3559"
"1071","3442","3560"
"1072","3442","3561"
"1073","3442","3563"
"1074","3442","3566"
"1075","3442","3568"
"1076","3442","3570"
"1077","3442","3572"
"1078","3442","3575"
"1079","3442","3581"
"1080","3442","3587"
"1081","3442","3588"
"1082","3442","3590"
"1083","3442","3594"
"1084","3442","3595"
"1085","3442","3597"
"1086","3442","3598"
"1087","3442","3601"
"1088","3442","3953"
"1089","3442","3977"
"1090","3442","4352"
"1091","3442","50615"
"1092","3442","5156"
"1093","3442","5159"
"1094","3442","53832"
"1095","3442","53833"
"1096","3442","5618"
"1097","3442","58985"
"1098","3442","64109"
"1099","3442","9180"
"1100","3442","9466"
"1101","3443","116379"
"1102","3443","1271"
"1103","3443","1438"
"1104","3443","1439"
"1105","3443","1441"
"1106","3443","149233"
"1107","3443","163702"
"1108","3443","1956"
"1109","3443","2057"
"1110","3443","2690"
"1111","3443","3454"
"1112","3443","3455"
"1113","3443","3459"
"1114","3443","3460"
"1115","3443","3559"
"1116","3443","3560"
"1117","3443","3561"
"1118","3443","3563"
"1119","3443","3566"
"1120","3443","3568"
"1121","3443","3570"
"1122","3443","3572"
"1123","3443","3575"
"1124","3443","3581"
"1125","3443","3587"
"1126","3443","3588"
"1127","3443","3590"
"1128","3443","3594"
"1129","3443","3595"
"1130","3443","3597"
"1131","3443","3598"
"1132","3443","3601"
"1133","3443","3953"
"1134","3443","3977"
"1135","3443","4352"
"1136","3443","50615"
"1137","3443","5156"
"1138","3443","5159"
"1139","3443","53832"
"1140","3443","53833"
"1141","3443","5618"
"1142","3443","58985"
"1143","3443","64109"
"1144","3443","9180"
"1145","3443","9466"
"1146","3444","116379"
"1147","3444","1271"
"1148","3444","1438"
"1149","3444","1439"
"1150","3444","1441"
"1151","3444","149233"
"1152","3444","163702"
"1153","3444","1956"
"1154","3444","2057"
"1155","3444","2690"
"1156","3444","3454"
"1157","3444","3455"
"1158","3444","3459"
"1159","3444","3460"
"1160","3444","3559"
"1161","3444","3560"
"1162","3444","3561"
"1163","3444","3563"
"1164","3444","3566"
"1165","3444","3568"
"1166","3444","3570"
"1167","3444","3572"
"1168","3444","3575"
"1169","3444","3581"
"1170","3444","3587"
"1171","3444","3588"
"1172","3444","3590"
"1173","3444","3594"
"1174","3444","3595"
"1175","3444","3597"
"1176","3444","3598"
"1177","3444","3601"
"1178","3444","3953"
